          libro1          libro2          libro3          libro4          libro5          libro6
LLAMADA          0          1          0          0          0          0          
LLAMADO          1          1          0          0          1          1          
LLAMAR          0          0          0          0          1          0          
LLAMAS          0          0          0          0          0          1          
LLEGA          0          0          0          1          0          1          
LLEGADA          0          0          1          0          0          0          
LLEGAN          1          0          0          1          1          1          
LLEGAR          1          1          1          1          1          1          
LLEGARON          0          1          0          0          1          0          
LLEVA          0          0          1          0          0          0          
LLEVABA          0          1          0          0          0          0          
LLEVADO          0          1          0          1          0          0          
LLEVAN          0          0          1          0          0          0          
LLEVANDO          1          0          0          0          0          0          
LLEVAR          1          0          1          0          1          0          
LLEVARA          0          1          0          0          1          0          
LLEVARLO          0          1          0          0          0          0          
LO          1          1          1          1          1          1          
LOBOS          0          1          0          0          0          0          
LOCURA          0          0          0          0          1          0          
LOGRA          0          0          0          0          1          0          
LOGRAN          1          0          0          0          0          1          
LOGRARON          0          1          0          0          0          0          
LOGRó          0          1          0          0          0          0          
LOMOS          0          0          0          0          1          0          
LOS          1          1          1          1          1          1          
LOTHLóRIEN          0          1          0          0          0          0          
LUCHA          0          0          0          1          1          1          
LUCHAR          0          0          0          0          1          0          
LUEGO          1          1          1          1          0          0          
LUGAR          0          0          0          0          1          1          
LUZ          0          0          0          0          1          0          
LáTIGO          0          1          0          0          0          0          
LéGOLAS          0          0          1          0          0          0          
MAGO          1          1          1          0          0          1          
MAL          0          1          0          0          0          0          
MALDICIóN          0          0          0          0          1          0          
